apple,elma,This is an apple.
book,kitap,I read a book.
water,su,Water is essential.
hello,merhaba,Hello! How are you?
thursday,perşembe,This is a thursday.
monday,pazartesi,This is a monday.
tuesday,salı,This is a tuesday.
wednesday,çarşamba,This is a wednesday.
friday,cuma,This is a friday.
saturday,cumartesi,This is a saturday.
sunday,pazar,This is a sunday.
january,ocak,This is a january.
february,şubat,This is a february.
march,mart,This is a march.
april,nisan,This is a april.
may,mayıs,This is a may.
june,haziran,This is a june.
july,temmuz,This is a july.
august,ağustos,This is a august.
september,eylül,This is a september.
october,ekim,This is a october.
november,kasım,This is a november.
december,aralık,This is a december.
